"","wojewodztwa","Longitude","Latitude","licz_biologia_podstawowa","licz_chemia_podstawowa","licz_fizyka_podstawowa","licz_geografia_podstawowa","licz_historia_podstawowa","licz_informatyka_podstawowa","licz_j_angielski_podstawowa","licz_j_polski_podstawowa","licz_matematyka_podstawowa","licz_WOS_podstawowa","licz_biologia_rozszerzona","licz_chemia_rozszerzona","licz_fizyka_rozszerzona","licz_geografia_rozszerzona","licz_historia_rozszerzona","licz_informatyka_rozszerzona","licz_j_angielski_rozszerzona","licz_j_polski_rozszerzona","licz_matematyka_rozszerzona","licz_WOS_rozszerzona","sr_biologia_podstawowa","sr_chemia_podstawowa","sr_fizyka_podstawowa","sr_geografia_podstawowa","sr_historia_podstawowa","sr_informatyka_podstawowa","sr_j_angielski_podstawowa","sr_j_polski_podstawowa","sr_matematyka_podstawowa","sr_WOS_podstawowa","sr_biologia_rozszerzona","sr_chemia_rozszerzona","sr_fizyka_rozszerzona","sr_geografia_rozszerzona","sr_historia_rozszerzona","sr_informatyka_rozszerzona","sr_j_angielski_rozszerzona","sr_j_polski_rozszerzona","sr_matematyka_rozszerzona","sr_WOS_rozszerzona","maturzysci","rok"
"37","łódzkie",528825.079298039,415319.262233603,6329,2933,5739,11940,2481,239,83999,101687,101595,9068,11017,9270,7189,14159,3759,170,27638,14155,21636,8247,36.5746958445252,47.4776679168087,35.0526828609123,49.5637911781128,51.5022168480451,31.4319870207497,70.0163930522982,52.0372797394442,60.4028150991683,42.2233403176004,51.1045051586941,50.0852211434736,42.0058422590068,48.6862301951644,43.0167597765363,48.1764705882353,62.0320211303278,55.0261712854436,48.5899426881124,32.3397599126955,101687,2012
"38","małopolskie",591302.831560591,222007.972661482,9234,2183,1701,15181,2850,572,131294,145143,145102,8630,12761,9750,2485,13576,4469,925,38894,16748,27894,9891,40.1290971770991,52.5478699038021,38.8259007306626,52.5195968645017,54.5077192982456,40.6950192664478,72.2110149740277,52.8605712427874,63.0740858154953,44.3596707222866,54.0465741974244,56.9061538461538,46.8477531857814,52.7134894912591,54.7375251734169,59.0162162162162,63.6042063043143,62.1413411642096,51.2203341220334,39.8711960368011,145143,2012
"39","mazowieckie",643022.160559537,499325.588407215,13245,5353,13750,23061,5596,988,192852,220234,219865,21566,17531,15162,13689,24835,7638,1098,55243,23822,41248,20331,40.2334214168869,51.8752101625257,36.648905380334,51.9615548617435,56.7575053609721,33.0166074526977,71.6153527057018,51.7826616358178,62.2776612921566,44.9856931435284,55.812655676611,53.1591039001011,44.708646845399,55.8810818065902,57.2356637863315,57.0564663023679,67.2407544847311,61.910495264118,53.7267261442979,40.4976636663224,220234,2012
"40","opolskie",422175.452535162,309357.889258931,3555,890,2407,5074,1232,290,30336,36977,36914,4611,3246,2350,1647,2592,1036,106,7521,3642,5245,2586,40.4459681200188,51.1011235955056,33.9316449471355,49.1734824595979,50.2719155844156,38.1632653061224,70.956289556962,51.9657581155269,59.1613479980495,42.7971155931468,54.4146642020949,50.3340425531915,37.5075895567699,50.5266203703704,49.6660231660232,51.3584905660377,62.4157691796304,52.4487045080126,45.6743565300286,35.6674400618716,36977,2012
"41","podkarpackie",727321.102662393,236412.632310518,7918,1923,5857,14819,3107,1348,90618,101026,101006,12879,9263,7105,3437,8894,2494,484,20521,7986,16833,6372,39.39494400943,51.7420696827873,36.4817260351298,52.5516229165261,56.5297714837464,37.6173317991885,68.8440927850979,51.7469546239368,60.8228026057858,42.8155006858711,54.010219871172,52.8597231996247,43.0283192706818,52.5504085151038,52.2004811547715,56.1198347107438,61.984649870864,57.2265669467022,50.2069743955326,38.2303829252982,101026,2012
"42","podlaskie",761999.586861065,606650.468895193,3857,1331,2897,7586,1431,364,50065,57409,57345,6430,5476,4290,3040,8546,1064,630,13435,5632,10710,4965,37.7414441275603,53.0503380916604,32.7404140807169,48.7130899024519,56.4535290006988,33.7295357703521,71.3050833915909,50.1238858395402,62.0547911762141,42.1434357179886,55.0553932310689,55.7459207459207,44.0323464912281,52.8520165379515,51.4041353383459,53.968253968254,62.4888723483439,60.0836131198347,49.6829131652661,37.9472306143001,57409,2012
"43","pomorskie",433888.002780233,699315.112450165,5938,1655,2170,11690,4376,410,72150,83403,83253,9927,6111,5064,2343,6305,2449,368,21205,9199,14465,4473,39.8738351858089,51.7462235649547,32.2035173516411,53.2231964642144,54.404478976234,39.1737182677949,72.8702425502426,52.4256370323059,61.7177278896857,43.9778088378496,57.1314023891344,52.2021458662454,47.5337885901266,53.3005551149881,50.8975091874234,63.5815217391304,66.8564017920302,58.5241478816867,48.4865537504321,39.6735971383859,83403,2012
"44","śląskie",499480.921145263,273446.448843197,12204,3250,5419,19881,5573,970,155641,170883,170569,11336,13241,10941,3633,9702,4808,596,37197,14494,26147,7819,41.9287050693762,53.2904615384615,37.7387197728326,57.1998180842681,57.3438004665351,44.8116978750263,71.7380831528967,50.4423446989413,61.2600531163341,46.6451827511174,56.8627747149007,51.4949882704201,45.1357922745206,57.0140177283034,50.9783693843594,60.2785234899329,64.9321181815738,58.2427524869225,48.7542739128772,40.6745108070086,170883,2012
"45","świętokrzyskie",624746.459810221,323304.077470651,4930,1268,2320,6656,1417,459,52596,60293,60196,5424,5164,4270,2070,4366,1657,200,10469,4661,9416,3709,42.9546991210277,52.4321766561514,38.115763546798,50.4644931891026,54.9943542695836,34.7294473344894,65.779165716024,49.5788583767288,58.3170310319623,41.9948761676499,55.785566744126,53.4777517564403,44.1626409017713,51.9209039548023,48.2365721182861,48.6,62.2236125704461,56.8840085038326,51.5265505522515,35.5082232407657,60293,2012
"46","warmińsko-mazurskie",619853.94638317,667542.454595626,5105,1633,2399,12555,2610,543,48735,58018,57885,9671,4748,3540,2140,5879,1093,275,10747,5205,8061,3867,38.2859941234084,53.0704225352113,35.9495027690109,50.4760719500863,55.0846743295019,34.0925320404405,70.3067405355494,47.7980738503335,59.4066856698627,41.1134663771413,53.1399185622016,53.8888888888889,44.5989096573209,51.3114475250893,45.0466605672461,52.5090909090909,62.0600167488601,59.1411230460222,48.3605011785138,38.7970002585984,58018,2012
"47","wielkopolskie",380773.294972023,497126.450255601,12969,4290,6656,22153,5070,1409,115874,148949,148557,13239,12132,8191,6786,15379,4678,910,26234,16085,22538,4387,38.5888143521731,53.4480186480186,32.4933158359498,52.2784724416558,54.0520710059172,41.0335887371272,69.4216994321418,52.0349700686595,58.7269936791938,43.889502605937,52.7806627101879,51.8937451674602,37.863002259554,51.8614127489867,51.0790936297563,57.1648351648352,63.2635511168712,53.0063300081951,43.9098411571568,37.1474811944381,148949,2012
"48","zachodniopomorskie",270787.940195897,640902.765012328,6270,1670,3070,12378,2599,448,50555,63127,62862,11361,4105,3464,2489,2613,860,228,10325,4532,5912,2266,42.4016480595428,55.7317365269461,35.3586385694343,53.4478173641407,55.7837629857638,38.5614067055394,70.5634853130254,51.5043462363943,56.8389806242245,42.4999266496494,58.322371092164,54.3769245573518,45.8832194991295,55.9465493047583,57.3418604651163,57.2543859649123,66.9315254237288,56.4395611008585,50.4577131258457,39.4421888790821,63127,2012
"49","dolnośląskie",318758.734783317,361175.05019965,8720,2839,10421,14534,3821,495,82103,102164,101972,10966,10887,7323,8075,7008,3820,480,25604,13410,20079,5959,45.4818953738044,39.3539978865798,37.3021782938298,36.5076460478584,48.9429759516124,40.5656565656566,71.7591169081544,54.6338584385254,57.1162475973797,43.2905770641169,46.3712072502373,51.9026810505713,43.1166150670795,43.7623668188737,53.2057591623037,57.1354166666667,54.7275425714732,55.1804962375432,51.273967827083,40.3856351736869,102164,2013
